DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20011112,86.86,88.10,85.50,88.10,2166400,0
20011113,89.95,91.50,89.84,91.05,3791000,0
20011114,92.75,92.75,90.65,91.50,3898000,0
20011115,90.00,90.70,88.23,88.70,4257000,0
20011116,88.60,88.81,87.50,87.66,2354900,0
20011119,88.75,90.55,88.50,90.55,2398700,0
20011120,90.05,91.24,89.20,89.75,1906900,0
20011121,88.90,89.30,87.50,88.15,1799300,0
20011122,88.15,88.15,88.15,88.15,0,0
20011123,88.80,90.40,88.64,90.15,837500,0
20011126,90.05,91.94,89.65,91.44,1843700,0
20011127,90.35,91.12,89.65,90.00,2472900,0
20011128,89.60,89.79,86.50,86.81,5402100,0
20011129,86.81,89.60,85.78,89.35,3854500,0
20011130,88.76,89.35,87.55,88.90,2494200,0
20011203,88.00,88.00,85.55,86.01,2879100,0
20011204,87.00,87.67,85.77,87.17,27800000,0
20011205,89.15,92.40,88.75,92.40,4400600,0
20011206,92.40,95.17,92.06,93.90,4842200,0
20011207,93.70,93.71,91.21,91.61,3214700,0
20011210,91.41,92.20,90.90,91.35,1311100,0
20011211,91.36,93.60,90.86,91.82,2682300,0
20011212,91.85,92.75,90.80,92.73,2364100,0
20011213,91.12,93.02,90.75,91.00,2423300,0
20011214,91.10,91.75,88.50,89.66,3330100,0
20011217,89.66,90.50,88.70,89.14,2028800,0
20011218,89.14,90.85,88.70,90.80,2286800,0
20011219,90.65,94.48,90.20,94.40,4364200,0
20011220,94.00,94.74,92.02,92.31,3407300,0
20011221,92.31,92.72,91.13,92.31,2175200,0
20011224,92.31,92.76,92.01,92.47,758000,0
20011226,92.41,93.70,92.10,92.80,8133200,0
20011227,91.80,92.90,91.80,92.12,1705200,0
20011228,92.70,93.79,92.34,93.28,1343800,0
20011231,93.03,93.80,92.72,92.75,1220700,0
20020102,92.80,92.80,89.27,91.07,3531900,0
20020103,91.07,92.65,90.78,92.45,2643500,0
20020104,94.35,96.78,94.35,96.75,5716700,0
20020107,97.25,97.25,95.05,95.67,3092900,0
20020108,93.25,93.50,92.22,92.50,5773800,0
20020109,93.00,95.02,92.95,93.75,5089400,0
20020110,93.75,94.19,92.60,93.00,3094600,0
20020111,93.05,93.05,90.73,91.15,8313300,0
20020114,91.00,91.00,89.21,89.97,3112200,0
20020115,90.20,91.00,89.50,89.90,2776200,0
20020116,89.00,89.75,88.03,88.63,3346600,0
20020117,89.45,91.00,89.10,89.86,3024900,0
20020118,89.00,89.80,88.21,89.21,2688600,0
20020121,89.21,89.21,89.21,89.21,0,0
20020122,89.25,89.64,86.76,86.98,3138700,0
20020123,87.10,88.38,85.79,87.25,3024600,0
20020124,87.90,89.36,85.06,85.50,4276600,0
20020125,85.39,88.68,85.36,87.10,36751100,0
20020128,88.50,88.95,86.90,87.85,2664100,0
20020129,88.80,88.80,83.65,84.48,5495500,0
20020130,84.48,86.05,81.60,86.00,6727100,0
20020131,86.50,87.20,84.66,86.98,3997600,0
20020201,86.49,86.50,85.14,85.40,2803900,0
20020204,84.20,84.50,81.50,82.50,4866600,0
20020205,81.80,82.56,80.52,81.04,3488500,0
20020206,81.10,82.30,80.11,81.90,4392500,0
20020207,82.00,83.37,80.17,81.11,4094100,0
20020208,81.90,84.50,81.64,83.80,3827700,0
20020211,83.10,84.94,82.65,84.85,2508700,0
20020212,84.70,84.71,83.48,83.50,2249100,0
20020213,83.75,85.38,83.74,84.58,2517400,0
20020214,85.45,86.50,84.60,85.11,3575200,0
20020215,85.11,85.11,82.61,82.76,6985700,0
20020218,82.76,82.76,82.76,82.76,0,0
20020219,82.76,82.76,78.15,78.45,6207200,0
20020220,78.50,80.60,77.52,80.60,5044700,0
20020221,80.10,82.80,79.10,79.47,3941500,0
20020222,79.48,79.50,77.75,79.00,4327500,0
20020225,79.70,82.00,78.80,81.96,3682900,0
20020226,81.96,82.75,80.75,81.40,2772500,0
20020227,82.05,83.20,80.25,80.89,3398100,0
20020228,81.20,82.50,80.70,80.94,2689500,0
20020301,81.50,83.66,80.85,83.47,3669600,0
20020304,84.45,89.50,84.30,89.10,4739300,0
20020305,89.00,90.52,88.10,89.53,4596200,0
20020306,90.10,91.50,88.80,90.87,5023000,0
20020307,91.40,92.25,89.30,89.96,3269000,0
20020308,90.20,91.60,89.12,90.29,3511600,0
20020311,90.29,91.50,89.64,90.60,2235900,0
20020312,89.31,90.60,89.00,89.80,2656000,0
20020313,89.79,89.80,87.63,88.00,2806400,0
20020314,88.01,88.60,87.20,88.40,1856700,0
20020315,88.95,90.03,88.35,90.00,1905100,0
20020318,90.00,90.96,89.00,89.20,2549200,0
20020319,90.95,91.40,90.31,91.05,3811300,0
20020320,90.46,91.15,89.66,89.85,2508200,0
20020321,89.50,91.00,88.75,90.35,2344000,0
20020322,90.05,90.85,89.25,89.73,20600000,0
20020325,89.85,91.00,87.95,88.03,2447400,0
