Date,Open,High,Low,Close,Adj Close,Volume
2016-11-29,110.779999,112.029999,110.070000,111.459999,107.199104,28528800
2016-11-30,111.599998,112.199997,110.269997,110.519997,106.295036,36162300
2016-12-01,110.370003,110.940002,109.029999,109.489998,105.304413,37086900
2016-12-02,109.169998,110.089996,108.849998,109.900002,105.698738,26528000
2016-12-05,110.000000,110.029999,108.250000,109.110001,104.938942,34324500
2016-12-06,109.500000,110.360001,109.190002,109.949997,105.746819,26195500
2016-12-07,109.260002,111.190002,109.160004,111.029999,106.785538,29998700
2016-12-08,110.860001,112.430000,110.599998,112.120003,107.833870,27068300
2016-12-09,112.309998,114.699997,112.309998,113.949997,109.593918,34402600
2016-12-12,113.290001,115.000000,112.489998,113.300003,108.968758,26374400
2016-12-13,113.839996,115.919998,113.750000,115.190002,110.786522,43733800
2016-12-14,115.040001,116.199997,114.980003,115.190002,110.786522,34031800
2016-12-15,115.379997,116.730003,115.230003,115.820000,111.392426,46524500
2016-12-16,116.470001,116.500000,115.650002,115.970001,111.536713,44351100
2016-12-19,115.800003,117.379997,115.750000,116.639999,112.181091,27779400
2016-12-20,116.739998,117.500000,116.680000,116.949997,112.479225,21425000
2016-12-21,116.800003,117.400002,116.779999,117.059998,112.585030,23783200
2016-12-22,116.349998,116.510002,115.639999,116.290001,111.844475,26085900
2016-12-23,115.589996,116.519997,115.589996,116.519997,112.065674,14249500
2016-12-27,116.519997,117.800003,116.489998,117.260002,112.777390,18296900
2016-12-28,117.519997,118.019997,116.199997,116.760002,112.296501,20905900
2016-12-29,116.449997,117.110001,116.400002,116.730003,112.267647,15039500
2016-12-30,116.650002,117.199997,115.430000,115.820000,111.392426,30586300
2017-01-03,115.800003,116.330002,114.760002,116.150002,111.709831,28781900
2017-01-04,115.849998,116.510002,115.750000,116.019997,111.584778,21118100
2017-01-05,115.919998,116.860001,115.809998,116.610001,112.152229,22193600
2017-01-06,116.779999,118.160004,116.470001,117.910004,113.402542,31751900
2017-01-09,117.949997,119.430000,117.940002,118.989998,114.441246,33561900
2017-01-10,118.769997,119.379997,118.300003,119.110001,114.556656,24462100
2017-01-11,118.739998,119.930000,118.599998,119.750000,115.172195,27588600
2017-01-12,118.900002,119.300003,118.209999,119.250000,114.691307,27086200
2017-01-13,119.110001,119.620003,118.809998,119.040001,114.489334,26111900
2017-01-17,118.339996,120.239998,118.220001,120.000000,115.412643,34439800
2017-01-18,120.000000,120.500000,119.709999,119.989998,115.403008,23713000
2017-01-19,119.400002,120.089996,119.370003,119.779999,115.201050,25597300
2017-01-20,120.449997,120.449997,119.730003,120.000000,115.412643,32597900
2017-01-23,120.000000,120.809998,119.769997,120.080002,115.489578,22050200
2017-01-24,119.550003,120.099998,119.500000,119.970001,115.383789,23211000
2017-01-25,120.419998,122.099998,120.279999,121.879997,117.220779,32377600
2017-01-26,121.669998,122.440002,121.599998,121.940002,117.278488,26337600
2017-01-27,122.139999,122.349998,121.599998,121.949997,117.288101,20562900
2017-01-30,120.930000,121.629997,120.660004,121.629997,116.980324,30377500
2017-01-31,121.150002,121.389999,120.620003,121.349998,116.711029,49201000
2017-02-01,127.029999,130.490005,127.010002,128.750000,123.828148,111985000
2017-02-02,127.980003,129.389999,127.779999,128.529999,123.616562,33710400
2017-02-03,128.309998,129.190002,128.160004,129.080002,124.145538,24507300
2017-02-06,129.130005,130.500000,128.899994,130.289993,125.309273,26845900
2017-02-07,130.539993,132.089996,130.449997,131.529999,126.501862,38183800
2017-02-08,131.350006,132.220001,131.220001,132.039993,126.992355,23004100
2017-02-09,131.649994,132.449997,131.119995,132.419998,127.909996,28349900
2017-02-10,132.460007,132.940002,132.050003,132.119995,127.620224,20065500
2017-02-13,133.080002,133.820007,132.750000,133.289993,128.750366,23035400
2017-02-14,133.470001,135.089996,133.250000,135.020004,130.421463,33226200
2017-02-15,135.520004,136.270004,134.619995,135.509995,130.894775,35623100
2017-02-16,135.669998,135.899994,134.839996,135.350006,130.740219,22584600
2017-02-17,135.100006,135.830002,135.100006,135.720001,131.097626,22198200
2017-02-21,136.229996,136.750000,135.979996,136.699997,132.044250,24507200
2017-02-22,136.429993,137.119995,136.110001,137.110001,132.440292,20836900
2017-02-23,137.380005,137.479996,136.300003,136.529999,131.880051,20788200
2017-02-24,135.910004,136.660004,135.279999,136.660004,132.005615,21776600
2017-02-27,137.139999,137.440002,136.279999,136.929993,132.266418,20257400
2017-02-28,137.080002,137.440002,136.699997,136.990005,132.324371,23482900
2017-03-01,137.889999,140.149994,137.600006,139.789993,135.028976,36414600
2017-03-02,140.000000,140.279999,138.759995,138.960007,134.227295,26211000
2017-03-03,138.779999,139.830002,138.589996,139.779999,135.019348,21108100
2017-03-06,139.369995,139.770004,138.600006,139.339996,134.594330,21750000
2017-03-07,139.059998,139.979996,138.789993,139.520004,134.768204,17446300
2017-03-08,138.949997,139.800003,138.820007,139.000000,134.265915,18707200
2017-03-09,138.740005,138.789993,137.050003,138.679993,133.956802,22155900
2017-03-10,139.250000,139.360001,138.639999,139.139999,134.401154,19612800
2017-03-13,138.850006,139.429993,138.820007,139.199997,134.459091,17421700
2017-03-14,139.300003,139.649994,138.839996,138.990005,134.256256,15309100
2017-03-15,139.410004,140.750000,139.029999,140.460007,135.676193,25691800
2017-03-16,140.720001,141.020004,140.259995,140.690002,135.898361,19232000
2017-03-17,141.000000,141.000000,139.889999,139.990005,135.222229,43885000
2017-03-20,140.399994,141.500000,140.229996,141.460007,136.642136,21542000
2017-03-21,142.110001,142.800003,139.729996,139.839996,135.077301,39529900
2017-03-22,139.850006,141.600006,139.759995,141.419998,136.603500,25860200
2017-03-23,141.259995,141.580002,140.610001,140.919998,136.120514,20346300
2017-03-24,141.500000,141.740005,140.350006,140.639999,135.850052,22395600
2017-03-27,139.389999,141.220001,138.619995,140.880005,136.081879,23575100
2017-03-28,140.910004,144.039993,140.619995,143.800003,138.902451,33374800
2017-03-29,143.679993,144.490005,143.190002,144.119995,139.211563,29190000
2017-03-30,144.190002,144.500000,143.500000,143.929993,139.028015,21207300
2017-03-31,143.720001,144.270004,143.009995,143.660004,138.767197,19661700
2017-04-03,143.710007,144.119995,143.050003,143.699997,138.805832,19985700
2017-04-04,143.250000,144.889999,143.169998,144.770004,139.839371,19891400
2017-04-05,144.220001,145.460007,143.809998,144.020004,139.114960,27717900
2017-04-06,144.289993,144.520004,143.449997,143.660004,138.767197,21149000
2017-04-07,143.729996,144.179993,143.270004,143.339996,138.458099,16672200
2017-04-10,143.600006,143.880005,142.899994,143.169998,138.293900,18933400
2017-04-11,142.940002,143.350006,140.059998,141.630005,136.806366,30379400
2017-04-12,141.600006,142.149994,141.009995,141.800003,136.970566,20350000
2017-04-13,141.910004,142.380005,141.050003,141.050003,136.246109,17822900
2017-04-17,141.479996,141.880005,140.869995,141.830002,136.999512,16582100
2017-04-18,141.410004,142.039993,141.110001,141.199997,136.391006,14697500
2017-04-19,141.880005,142.000000,140.449997,140.679993,135.888687,17328400
2017-04-20,141.220001,142.919998,141.160004,142.440002,137.588776,23319600
2017-04-21,142.440002,142.679993,141.850006,142.270004,137.424545,17320900
2017-04-24,143.500000,143.949997,143.179993,143.639999,138.747894,17134300
2017-04-25,143.910004,144.899994,143.869995,144.529999,139.607590,18871500
2017-04-26,144.470001,144.600006,143.380005,143.679993,138.786530,20041200
2017-04-27,143.919998,144.160004,143.309998,143.789993,138.892776,14246300
2017-04-28,144.089996,144.300003,143.270004,143.649994,138.757538,20860400
2017-05-01,145.100006,147.199997,144.960007,146.580002,141.587769,33602900
2017-05-02,147.539993,148.089996,146.839996,147.509995,142.486099,45352200
2017-05-03,145.589996,147.490005,144.270004,147.059998,142.051422,45697000
2017-05-04,146.520004,147.139999,145.809998,146.529999,141.539459,23371900
2017-05-05,146.759995,148.979996,146.759995,148.960007,143.886719,27327700
2017-05-08,149.029999,153.699997,149.029999,153.009995,147.798767,48752400
2017-05-09,153.869995,154.880005,153.449997,153.990005,148.745392,39130400
2017-05-10,153.630005,153.940002,152.110001,153.259995,148.040237,25805700
2017-05-11,152.449997,154.070007,152.309998,153.949997,149.320557,27255100
2017-05-12,154.699997,156.419998,154.669998,156.100006,151.405930,32527000
2017-05-15,156.009995,156.649994,155.050003,155.699997,151.017929,26009700
2017-05-16,155.940002,156.059998,154.720001,155.470001,150.794830,20048500
2017-05-17,153.600006,154.570007,149.710007,150.250000,145.731827,50767700
2017-05-18,151.270004,153.339996,151.130005,152.539993,147.952927,33568200
2017-05-19,153.380005,153.979996,152.630005,153.059998,148.457306,26960800
2017-05-22,154.000000,154.580002,152.910004,153.990005,149.359360,22966400
2017-05-23,154.899994,154.899994,153.309998,153.800003,149.175079,19918900
2017-05-24,153.839996,154.169998,152.669998,153.339996,148.728882,19178000
2017-05-25,153.729996,154.350006,153.029999,153.869995,149.242950,19235600
2017-05-26,154.000000,154.240005,153.309998,153.610001,148.990768,21927600
2017-05-30,153.419998,154.429993,153.330002,153.669998,149.048965,20126900
2017-05-31,153.970001,154.169998,152.380005,152.759995,148.166336,24451200
2017-06-01,153.169998,153.330002,152.220001,153.179993,148.573685,16404100
2017-06-02,153.580002,155.449997,152.889999,155.449997,150.775436,27770700
2017-06-05,154.339996,154.449997,153.460007,153.929993,149.301117,25331700
2017-06-06,153.899994,155.809998,153.779999,154.449997,149.805511,26624900
2017-06-07,155.020004,155.979996,154.479996,155.369995,150.697861,21069600
2017-06-08,155.250000,155.539993,154.399994,154.990005,150.329269,21250800
2017-06-09,155.190002,155.190002,146.020004,148.979996,144.500000,64882700
2017-06-12,145.740005,146.089996,142.509995,145.419998,141.047043,72307300
2017-06-13,147.160004,147.449997,145.149994,146.589996,142.181839,34165400
2017-06-14,147.500000,147.500000,143.839996,145.160004,140.794876,31531200
2017-06-15,143.320007,144.479996,142.210007,144.289993,139.951019,32165400
2017-06-16,143.779999,144.500000,142.199997,142.270004,137.991791,50361100
2017-06-19,143.660004,146.740005,143.660004,146.339996,141.939392,32541400
2017-06-20,146.869995,146.869995,144.940002,145.009995,140.649384,24900100
2017-06-21,145.520004,146.070007,144.610001,145.869995,141.483521,21265800
2017-06-22,145.770004,146.699997,145.119995,145.630005,141.250763,19106300
2017-06-23,145.130005,147.160004,145.110001,146.279999,141.881210,35439400
2017-06-26,147.169998,148.279999,145.380005,145.820007,141.435043,25692400
2017-06-27,145.009995,146.160004,143.619995,143.729996,139.407867,24761900
2017-06-28,144.490005,146.110001,143.160004,145.830002,141.444717,22082400
2017-06-29,144.710007,145.130005,142.279999,143.679993,139.359360,31499400
2017-06-30,144.449997,144.960007,143.779999,144.020004,139.689148,23024100
2017-07-03,144.880005,145.300003,143.100006,143.500000,139.184799,14277800
2017-07-05,143.690002,144.789993,142.720001,144.089996,139.757050,21569600
2017-07-06,143.020004,143.500000,142.410004,142.729996,138.437958,24128800
2017-07-07,142.899994,144.750000,142.899994,144.179993,139.844330,19201700
2017-07-10,144.110001,145.949997,143.369995,145.059998,140.697891,21090600
2017-07-11,144.729996,145.850006,144.380005,145.529999,141.153748,19781800
2017-07-12,145.869995,146.179993,144.820007,145.740005,141.357452,24884500
2017-07-13,145.500000,148.490005,145.440002,147.770004,143.326370,25199400
2017-07-14,147.970001,149.330002,147.330002,149.039993,144.558197,20132100
2017-07-17,148.820007,150.899994,148.570007,149.559998,145.062561,23793500
2017-07-18,149.199997,150.130005,148.669998,150.080002,145.566925,17868800
2017-07-19,150.479996,151.419998,149.949997,151.020004,146.478683,20923000
2017-07-20,151.500000,151.740005,150.190002,150.339996,145.819077,17243700
2017-07-21,149.990005,150.440002,148.880005,150.270004,145.751236,26252600
2017-07-24,150.580002,152.440002,149.899994,152.089996,147.516495,21493200
2017-07-25,151.800003,153.839996,151.800003,152.740005,148.146942,18853900
2017-07-26,153.350006,153.929993,153.059998,153.460007,148.845306,15781000
2017-07-27,153.750000,153.990005,147.300003,150.559998,146.032501,32476300
2017-07-28,149.889999,150.229996,149.190002,149.500000,145.004379,17213700
2017-07-31,149.899994,150.330002,148.130005,148.729996,144.257507,19845900
2017-08-01,149.100006,150.220001,148.410004,150.050003,145.537842,35368600
2017-08-02,159.279999,159.750000,156.160004,157.139999,152.414627,69936800
2017-08-03,157.050003,157.210007,155.020004,155.570007,150.891830,27097300
2017-08-04,156.070007,157.399994,155.690002,156.389999,151.687180,20559900
2017-08-07,157.059998,158.919998,156.669998,158.809998,154.034393,21870300
2017-08-08,158.600006,161.830002,158.270004,160.080002,155.266205,36205900
2017-08-09,159.259995,161.270004,159.110001,161.059998,156.216736,26131500
2017-08-10,159.899994,160.000000,154.630005,155.320007,151.240952,40804300
2017-08-11,156.600006,158.570007,156.070007,157.479996,153.344223,26257100
2017-08-14,159.320007,160.210007,158.750000,159.850006,155.651978,22122700
2017-08-15,160.660004,162.199997,160.139999,161.600006,157.356033,29465500
2017-08-16,161.940002,162.509995,160.149994,160.949997,156.723083,27671600
2017-08-17,160.520004,160.710007,157.839996,157.860001,153.714249,27940600
2017-08-18,157.860001,159.500000,156.720001,157.500000,153.363708,27428100
2017-08-21,157.500000,157.889999,155.110001,157.210007,153.081329,26368500
2017-08-22,158.229996,160.000000,158.020004,159.779999,155.583832,21604600
2017-08-23,159.070007,160.470001,158.880005,159.979996,155.778564,19399100
